t,p,D,T,S,U,D_bar,Z_bar,gradient_estimate,delta_hat,upsilon_hat,zeta,state_d_a,state_name,experiment_type,n,cumulative_regret,experimentation
150,23.897652571994236,6216,4813,4271.959824610562,239666.97427878427,0.6216,0.4813,0.14040998321239578,0.02258756468911719,0.01667266390080846,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5650.68598798664,Local
151,23.91624992076409,4570,4806,3745.6519917682817,210070.21019012452,0.457,0.4806,-0.4434797748513331,-0.0031252102440906663,-0.003410399210453791,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5650.94960173349,Local
152,23.857897318809968,5359,4786,4032.224049742514,226377.53663420817,0.5359,0.4786,0.08194528237337184,0.027617124418739855,0.017561460039344223,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5651.156700169287,Local
153,23.8686091204274,6241,5279,4544.35245949045,255080.82419820558,0.6241,0.5279,0.21618816729659152,0.03588610128731559,0.022270335182466055,0.5,0.7,High ($d_a = 0.7$),local,10000,5651.373662815954,Local
154,23.896685505790593,6416,5224,4559.752456752969,255817.22609695583,0.6416,0.5224,-0.5671186940452148,-0.0033076002196265743,-0.0034926441957970973,0.5,0.7,High ($d_a = 0.7$),local,10000,5651.617569285108,Local
155,23.82350890010734,3324,4069,2897.9785340217873,162798.2653241549,0.3324,0.4069,-0.23758363295063467,0.004307622202064614,0.0037028755581598794,0.5,0.3,Low ($d_a = 0.3$),local,10000,5651.79455127352,Local
156,23.79304945998546,6001,4786,4207.218033311978,236474.89590942356,0.6001,0.4786,0.03875960561284014,0.01828428124724111,0.01400604155038619,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5651.946832937236,Local
157,23.797986989362894,6957,5168,4645.017665214746,261059.3432550383,0.6957,0.5168,-0.43297614555726194,0.0008890257523446559,0.0008786062186794883,0.5,0.7,High ($d_a = 0.7$),local,10000,5652.102992552299,Local
158,23.743179882330328,2763,4092,2546.013917357771,143230.6469658796,0.2763,0.4092,-0.19510232770452515,0.0107809543726295,0.007286337651685255,0.5,0.3,Low ($d_a = 0.3$),local,10000,5652.218839697683,Local
159,23.71863870903416,5225,4909,4045.7278614375878,227699.07145449542,0.5225,0.4909,-0.145656902486885,0.01315276891271784,0.01021103404668774,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5652.318583285002,Local
160,23.7004315962233,3906,4788,3407.0294688475483,191814.28863506555,0.3906,0.4788,-0.23961057803207186,0.009329022116745914,0.007179108343094947,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5652.407157954737,Local
